SA4_CODE21,SA4_NAME21,year,net_migration,population,net_per_1000
101,Capital Region,2022,576,240637,2.3936468622863485
101,Capital Region,2023,360,243069,1.4810609333152316
101,Capital Region,2024,1124,246087,4.567490359100643
102,Central Coast,2022,-1339,349158,-3.834940055791361
102,Central Coast,2023,-385,351900,-1.0940608127308895
102,Central Coast,2024,278,354803,0.7835333974064481
103,Central West,2022,-668,214120,-3.1197459368578366
103,Central West,2023,-752,214827,-3.5004910928328377
103,Central West,2024,-31,216000,-0.14351851851851852
104,Coffs Harbour - Grafton,2022,816,147645,5.526770293609672
104,Coffs Harbour - Grafton,2023,385,149032,2.583337806645553
104,Coffs Harbour - Grafton,2024,820,150563,5.446225168202016
105,Far West and Orana,2022,-944,117115,-8.060453400503778
105,Far West and Orana,2023,-366,117882,-3.1047997149692064
105,Far West and Orana,2024,-729,118081,-6.1737282035213115
106,Hunter Valley exc Newcastle,2022,4396,299562,14.674758480715177
106,Hunter Valley exc Newcastle,2023,2915,305072,9.555121413961293
106,Hunter Valley exc Newcastle,2024,3037,310416,9.78364517292923
107,Illawarra,2022,678,317670,2.13429030125602
107,Illawarra,2023,-171,321771,-0.5314338458095975
107,Illawarra,2024,920,326347,2.819085206850377
108,Mid North Coast,2022,3121,231877,13.459722180293863
108,Mid North Coast,2023,2305,234285,9.838444629404359
108,Mid North Coast,2024,2539,236760,10.723939854705186
109,Murray,2022,597,124553,4.7931402696041046
109,Murray,2023,718,126004,5.698231802165011
109,Murray,2024,656,127464,5.1465511830791435
110,New England and North West,2022,-386,187914,-2.0541311450982898
110,New England and North West,2023,-514,189304,-2.715209398639226
110,New England and North West,2024,-591,190289,-3.1058022271387205
111,Newcastle and Lake Macquarie,2022,2086,396319,5.2634367769397885
111,Newcastle and Lake Macquarie,2023,1246,401855,3.100620870712073
111,Newcastle and Lake Macquarie,2024,1904,407357,4.674032850791812
112,Richmond - Tweed,2022,745,258755,2.87917141697745
112,Richmond - Tweed,2023,-333,260434,-1.2786348940614511
112,Richmond - Tweed,2024,837,262811,3.184798200988543
113,Riverina,2022,-1378,164580,-8.372827804107423
