SA4_CODE21,SA4_NAME21,year,net_migration,population,net_per_1000
101,Capital Region,2024,1124,246087,4.567490359100643
102,Central Coast,2024,278,354803,0.7835333974064481
103,Central West,2024,-31,216000,-0.1435185185185185
104,Coffs Harbour - Grafton,2024,820,150563,5.446225168202016
105,Far West and Orana,2024,-729,118081,-6.173728203521312
106,Hunter Valley exc Newcastle,2024,3037,310416,9.78364517292923
107,Illawarra,2024,920,326347,2.819085206850377
108,Mid North Coast,2024,2539,236760,10.723939854705186
109,Murray,2024,656,127464,5.146551183079144
110,New England and North West,2024,-591,190289,-3.1058022271387205
111,Newcastle and Lake Macquarie,2024,1904,407357,4.674032850791812
112,Richmond - Tweed,2024,837,262811,3.184798200988543
113,Riverina,2024,-1041,165852,-6.2766804138629615
114,Southern Highlands and Shoalhaven,2024,776,164054,4.730149828714936
115,Sydney - Baulkham Hills and Hawkesbury,2024,3060,287936,10.627361635919094
116,Sydney - Blacktown,2024,1016,442454,2.296283907479648
117,Sydney - City and Inner South,2024,-10767,363505,-29.619950207012284
118,Sydney - Eastern Suburbs,2024,-6505,277917,-23.40626877808842
119,Sydney - Inner South West,2024,-8594,634107,-13.552917725241954
120,Sydney - Inner West,2024,-4710,320455,-14.697851492409232
121,Sydney - North Sydney and Hornsby,2024,-5682,444023,-12.796634408577937
122,Sydney - Northern Beaches,2024,-2924,270772,-10.7987531945696
123,Sydney - Outer South West,2024,1484,318165,4.66424653874562
124,Sydney - Outer West and Blue Mountains,2024,314,346325,0.9066628167184004
125,Sydney - Parramatta,2024,-8730,527220,-16.558552406964836
126,Sydney - Ryde,2024,-2443,215583,-11.33206236113237
127,Sydney - South West,2024,3175,516623,6.145680699465568
128,Sydney - Sutherland,2024,-58,237345,-0.2443700099011986
201,Ballarat,2024,2346,182460,12.857612627425189
202,Bendigo,2024,767,172754,4.4398393090753325
203,Geelong,2024,4009,349842,11.45945884141984
204,Hume,2024,1064,189637,5.610719427116016
205,Latrobe - Gippsland,2024,2343,311434,7.523263355959851
206,Melbourne - Inner,2024,-6483,702853,-9.223834855937158
207,Melbourne - Inner East,2024,-3143,401517,-7.827813019124968
208,Melbourne - Inner South,2024,-1546,449558,-3.438933352314941
209,Melbourne - North East,2024,2382,585062,4.071363376872879
210,Melbourne - North West,2024,933,463821,2.0115518702257984
211,Melbourne - Outer East,2024,-1987,534103,-3.7202562052637775
212,Melbourne - South East,2024,-2605,942073,-2.76517849466018
213,Melbourne - West,2024,4765,955653,4.986119438750257
214,Mornington Peninsula,2024,103,316065,0.3258823343299638
215,North West,2024,-1374,154493,-8.893606830082916
216,Shepparton,2024,-471,138837,-3.39246742583029
217,Warrnambool and South West,2024,-439,128557,-3.414827663993404
301,Brisbane - East,2024,1787,255048,7.006524262099683
302,Brisbane - North,2024,600,240654,2.493206013612905
303,Brisbane - South,2024,-2400,405821,-5.9139374256137565
304,Brisbane - West,2024,-505,202564,-2.4930392369818923
305,Brisbane Inner City,2024,-1886,329810,-5.718443952578757
306,Cairns,2024,275,269399,1.0207907230539088
307,Darling Downs - Maranoa,2024,344,133617,2.574522702949475
308,Central Queensland,2024,1218,241735,5.038575299398101
309,Gold Coast,2024,1145,698017,1.6403611946413912
310,Ipswich,2024,4561,408779,11.15761817510195
311,Logan - Beaudesert,2024,7564,408453,18.51865453307969
312,Mackay - Isaac - Whitsunday,2024,428,192302,2.22566587971004
313,Moreton Bay - North,2024,5393,292532,18.4355899525522
314,Moreton Bay - South,2024,453,236402,1.9162274430842376
315,Queensland - Outback,2024,-911,82427,-11.052203768182755
316,Sunshine Coast,2024,5242,434602,12.061610392957236
317,Toowoomba,2024,583,173649,3.357347292526879
318,Townsville,2024,556,247234,2.248881626313533
319,Wide Bay,2024,5463,330788,16.515109375188942
401,Adelaide - Central and Hills,2024,-1586,333163,-4.760432581048915
402,Adelaide - North,2024,-135,484234,-0.2787908325313794
403,Adelaide - South,2024,-569,392131,-1.4510456964636818
404,Adelaide - West,2024,-1033,259635,-3.97866235291852
405,Barossa - Yorke - Mid North,2024,986,119770,8.232445520581114
406,South Australia - Outback,2024,-313,85946,-3.641821608917227
407,South Australia - South East,2024,1081,203132,5.321662761160231
501,Bunbury,2024,1956,206196,9.486120002327882
502,Mandurah,2024,2783,122716,22.678379347436355
503,Perth - Inner,2024,-1465,207192,-7.070736321865708
504,Perth - North East,2024,2663,313823,8.485675046124728
505,Perth - North West,2024,94,640980,0.1466504415114356
506,Perth - South East,2024,-992,597028,-1.6615636117569026
507,Perth - South West,2024,4995,502632,9.937688010313709
509,Western Australia - Wheat Belt,2024,943,147036,6.41339535895971
510,Western Australia - Outback (North),2024,-775,100680,-7.697655939610647
511,Western Australia - Outback (South),2024,-460,126795,-3.627903308490082
601,Hobart,2024,-2000,254930,-7.845290864158789
602,Launceston and North East,2024,-704,156249,-4.50562883602455
603,South East,2024,254,44284,5.735705898292838
604,West and North West,2024,-107,120033,-0.8914215257470862
701,Darwin,2024,-2751,152489,-18.04064555476133
702,Northern Territory - Outback,2024,-1024,102580,-9.982452719828428
801,Australian Capital Territory,2024,-1550,473855,-3.271042829557565
901,Other Territories,2024,0,4994,0.0
